"$N_{c}$, N_{p}$",k,optimal_time,relaxed_time,grad_time,$\mathbb{E}[{U_{C}}]$_Baseline,$\sigma(\mathbb{E}[U_{G}])$_Baseline,$\#(U_{P} < U_{P\min})/N_{P}$_Baseline,$\sum(V - U_{P})/N_{P^{b}}$_Baseline,$\#(A_{C} > k)/N_{C}$_Baseline,$\sum(A_{C} - k)/N_{A_{c}^{a}}$_Baseline,$\#(A_{C} < k)/N_{C}$_Baseline,$\sum(k - A_{C})/N_{A_{c}^{b}}$_Baseline,$\mathbb{E}[{U_{C}}]$_LP Round,$\sigma(\mathbb{E}[U_{G}])$_LP Round,$\#(U_{P} < U_{P\min})/N_{P}$_LP Round,$\sum(V - U_{P})/N_{P^{b}}$_LP Round,$\#(A_{C} > k)/N_{C}$_LP Round,$\sum(A_{C} - k)/N_{A_{c}^{a}}$_LP Round,$\#(A_{C} < k)/N_{C}$_LP Round,$\sum(k - A_{C})/N_{A_{c}^{b}}$_LP Round,$\mathbb{E}[{U_{C}}]$_LP TopK,$\sigma(\mathbb{E}[U_{G}])$_LP TopK,$\#(U_{P} < U_{P\min})/N_{P}$_LP TopK,$\sum(V - U_{P})/N_{P^{b}}$_LP TopK,$\#(A_{C} > k)/N_{C}$_LP TopK,$\sum(A_{C} - k)/N_{A_{c}^{a}}$_LP TopK,$\#(A_{C} < k)/N_{C}$_LP TopK,$\sum(k - A_{C})/N_{A_{c}^{b}}$_LP TopK,$\mathbb{E}[{U_{C}}]$_Grad Round,$\sigma(\mathbb{E}[U_{G}])$_Grad Round,$\#(U_{P} < U_{P\min})/N_{P}$_Grad Round,$\sum(V - U_{P})/N_{P^{b}}$_Grad Round,$\#(A_{C} > k)/N_{C}$_Grad Round,$\sum(A_{C} - k)/N_{A_{c}^{a}}$_Grad Round,$\#(A_{C} < k)/N_{C}$_Grad Round,$\sum(k - A_{C})/N_{A_{c}^{b}}$_Grad Round,$\mathbb{E}[{U_{C}}]$_Grad TopK,$\sigma(\mathbb{E}[U_{G}])$_Grad TopK,$\#(U_{P} < U_{P\min})/N_{P}$_Grad TopK,$\sum(V - U_{P})/N_{P^{b}}$_Grad TopK,$\#(A_{C} > k)/N_{C}$_Grad TopK,$\sum(A_{C} - k)/N_{A_{c}^{a}}$_Grad TopK,$\#(A_{C} < k)/N_{C}$_Grad TopK,$\sum(k - A_{C})/N_{A_{c}^{b}}$_Grad TopK,$\mathbb{E}[{U_{C}}]$_Lang Round,$\sigma(\mathbb{E}[U_{G}])$_Lang Round,$\#(U_{P} < U_{P\min})/N_{P}$_Lang Round,$\sum(V - U_{P})/N_{P^{b}}$_Lang Round,$\#(A_{C} > k)/N_{C}$_Lang Round,$\sum(A_{C} - k)/N_{A_{c}^{a}}$_Lang Round,$\#(A_{C} < k)/N_{C}$_Lang Round,$\sum(k - A_{C})/N_{A_{c}^{b}}$_Lang Round,$\mathbb{E}[{U_{C}}]$_Lang TopK,$\sigma(\mathbb{E}[U_{G}])$_Lang TopK,$\#(U_{P} < U_{P\min})/N_{P}$_Lang TopK,$\sum(V - U_{P})/N_{P^{b}}$_Lang TopK,$\#(A_{C} > k)/N_{C}$_Lang TopK,$\sum(A_{C} - k)/N_{A_{c}^{a}}$_Lang TopK,$\#(A_{C} < k)/N_{C}$_Lang TopK,$\sum(k - A_{C})/N_{A_{c}^{b}}$_Lang TopK,$\mathbb{E}[{U_{C}}]$_Prob Round,$\sigma(\mathbb{E}[U_{G}])$_Prob Round,$\#(U_{P} < U_{P\min})/N_{P}$_Prob Round,$\sum(V - U_{P})/N_{P^{b}}$_Prob Round,$\#(A_{C} > k)/N_{C}$_Prob Round,$\sum(A_{C} - k)/N_{A_{c}^{a}}$_Prob Round,$\#(A_{C} < k)/N_{C}$_Prob Round,$\sum(k - A_{C})/N_{A_{c}^{b}}$_Prob Round,$\mathbb{E}[{U_{C}}]$_Prob Grad,$\sigma(\mathbb{E}[U_{G}])$_Prob Grad,$\#(U_{P} < U_{P\min})/N_{P}$_Prob Grad,$\sum(V - U_{P})/N_{P^{b}}$_Prob Grad,$\#(A_{C} > k)/N_{C}$_Prob Grad,$\sum(A_{C} - k)/N_{A_{c}^{a}}$_Prob Grad,$\#(A_{C} < k)/N_{C}$_Prob Grad,$\sum(k - A_{C})/N_{A_{c}^{b}}$_Prob Grad,$\mathbb{E}[{U_{C}}]$_Prob Lang,$\sigma(\mathbb{E}[U_{G}])$_Prob Lang,$\#(U_{P} < U_{P\min})/N_{P}$_Prob Lang,$\sum(V - U_{P})/N_{P^{b}}$_Prob Lang,$\#(A_{C} > k)/N_{C}$_Prob Lang,$\sum(A_{C} - k)/N_{A_{c}^{a}}$_Prob Lang,$\#(A_{C} < k)/N_{C}$_Prob Lang,$\sum(k - A_{C})/N_{A_{c}^{b}}$_Prob Lang
200,10,5.33297324180603,0.5746560096740723,9.799066066741943,0.9341567741568813,0.3783024691358024,0.0,,0.0,,0.0,,0.9341107595222082,0.3794395833333333,0.0,,0.005,-1.0,0.0,,0.9341048511321642,0.3783024691358024,0.005,1.0,0.0,,0.0,,0.918526753459154,0.3783024691358024,0.0,,0.0,,0.0,,0.918526753459154,0.37830245,0.0,,0.0,,0.0,,0.9331558868012104,0.3783024691358024,0.005,1.0,0.0,,0.0,,0.9331558868012104,0.37830245,0.005,1.0,0.0,,0.0,,0.9341143474129192,0.3780506944444444,0.005,1.0,0.005,-1.0,0.0,,0.918526753459154,0.3783024691358024,0.0,,0.0,,0.0,,0.9330380600502888,0.3782416666666666,0.045,1.0,0.045,-1.0,0.055,1.0
200,10,6.207226991653442,0.5643260478973389,10.885958194732666,0.9432395422670132,0.3783024691358024,0.0,,0.0,,0.0,,0.9432551732264406,0.3773096450617284,0.0,,0.005,-1.0,0.01,1.0,0.9432413152131196,0.3783024691358024,0.005,1.0,0.0,,0.0,,0.9246531458743644,0.3780506944444444,0.0,,0.005,-1.0,0.0,,0.924621405794383,0.37830245,0.0,,0.0,,0.0,,0.9417719153962564,0.3747416666666666,0.01,1.0,0.01,-1.0,0.02,1.0,0.9417148424259544,0.37830245,0.015,1.0,0.0,,0.0,,0.9432495572721376,0.3769833333333333,0.015,1.0,0.015,-1.0,0.025,1.0,0.9246531458743644,0.3780506944444444,0.0,,0.005,-1.0,0.0,,0.9416411817192978,0.3743932098765431,0.08,1.0,0.055,-1.0,0.075,1.1333333333333333
200,10,11.247457027435305,0.5879669189453125,11.483432054519652,0.9414363460851704,0.3783024691358024,0.0,,0.0,,0.0,,0.9413997080851144,0.3782,0.005,1.0,0.0,,0.01,1.0,0.9414284474101476,0.3783024691358024,0.005,1.0,0.0,,0.0,,0.9259462038427072,0.3783024691358024,0.0,,0.0,,0.0,,0.9259462038427072,0.37830245,0.0,,0.0,,0.0,,0.939853187465854,0.3749874228395061,0.02,1.0,0.025,-1.0,0.03,1.0,0.9397785457332768,0.37830245,0.03,1.0,0.0,,0.0,,0.9413977902428288,0.3782874228395061,0.01,1.0,0.0,,0.015,1.0,0.9259462038427072,0.3783024691358024,0.0,,0.0,,0.0,,0.9397734068825556,0.3791608024691357,0.11,1.0454545454545454,0.075,-1.1333333333333333,0.095,1.105263157894737
200,15,5.053040981292725,0.5330440998077393,9.82023787498474,0.929397892354754,0.8511805555555555,0.0,,0.0,,0.0,,0.9294533658547062,0.8516416666666666,0.0,,0.005,-1.0,0.005,1.0,0.9294476298996016,0.8511805555555555,0.005,1.0,0.0,,0.0,,0.9108340969739788,0.8503404320987653,0.0,,0.01,-1.0,0.0,,0.9108097965798428,0.8511806,0.005,1.0,0.0,,0.0,,0.928598526416895,0.8492726080246914,0.005,1.0,0.01,-1.0,0.015,1.0,0.9285884315725652,0.8511806,0.01,1.0,0.0,,0.0,,0.929454615890542,0.850814274691358,0.0,,0.005,-1.0,0.01,1.0,0.9108340969739788,0.8503404320987653,0.0,,0.01,-1.0,0.0,,0.928502682525591,0.8513729166666666,0.07,1.0,0.05,-1.1,0.07,1.0
200,15,1.554642915725708,0.5659582614898682,9.48897123336792,0.93817654324542,0.8511805555555555,0.0,,0.0,,0.0,,0.9382276226763956,0.8513114969135803,0.01,1.0,0.0,,0.005,1.0,0.9382324676959996,0.8511805555555555,0.01,1.0,0.0,,0.0,,0.9156735928841332,0.8511805555555555,0.005,1.0,0.0,,0.0,,0.9156735928841332,0.8511806,0.005,1.0,0.0,,0.0,,0.936773573997688,0.8498083333333333,0.0,,0.01,-1.0,0.01,1.0,0.93675133661503,0.8511806,0.005,1.0,0.0,,0.0,,0.9382364508918472,0.8516922839506171,0.015,1.0,0.0,,0.01,1.0,0.9156735928841332,0.8511805555555555,0.005,1.0,0.0,,0.0,,0.9366893160757138,0.8585744598765432,0.06,1.0,0.055,-1.4545454545454546,0.07,1.0714285714285714
200,15,8.746656894683838,0.5578088760375977,10.03511381149292,0.9370462668924392,0.8511805555555556,0.0,,0.0,,0.0,,0.936997919604402,0.84935,0.01,1.0,0.005,-1.0,0.005,1.0,0.9369743031616202,0.8511805555555556,0.01,1.0,0.0,,0.0,,0.9145925385440964,0.8507605709876542,0.0,,0.005,-1.0,0.0,,0.9145715207455568,0.8511806,0.0,,0.0,,0.0,,0.9353272375968482,0.8499864969135803,0.01,1.0,0.025,-1.0,0.03,1.0,0.9353161691163,0.8511806,0.01,1.0,0.0,,0.0,,0.9369811877458928,0.8505550154320987,0.005,1.0,0.015,-1.0,0.01,1.0,0.9145925385440964,0.8507605709876542,0.0,,0.005,-1.0,0.0,,0.93533711300117,0.8526605709876544,0.05,1.0,0.08,-1.0,0.06,1.25
200,25,3.6630983352661137,0.5731637477874756,11.304943084716797,0.9246374770768409,2.364390432098765,0.0,,0.0,,0.0,,0.924650206696872,2.363010570987654,0.005,1.0,0.0,,0.005,1.0,0.9246512861810228,2.364390432098765,0.0,,0.0,,0.0,,0.8981931847879023,2.364390432098765,0.0,,0.0,,0.0,,0.8981931847879023,2.3643904,0.0,,0.0,,0.0,,0.9237154820529349,2.362963888888889,0.03,1.0,0.035,-1.0,0.045,1.0,0.9237739900696194,2.3643904,0.035,1.0,0.0,,0.0,,0.924650206696872,2.363010570987654,0.005,1.0,0.0,,0.005,1.0,0.8981931847879023,2.364390432098765,0.0,,0.0,,0.0,,0.9237764194237466,2.355702777777778,0.17,1.088235294117647,0.09,-1.3888888888888888,0.15,1.1
200,25,11.095128059387209,0.5461361408233643,11.294734716415403,0.9328822890987416,2.364390432098765,0.0,,0.0,,0.0,,0.9328686305995304,2.3649395833333333,0.0,,0.005,-1.0,0.0,,0.932861039642322,2.364390432098765,0.005,1.0,0.0,,0.0,,0.905717635994906,2.3636895833333336,0.0,,0.005,-1.0,0.0,,0.9057123667546484,2.3643904,0.005,1.0,0.0,,0.0,,0.9317133136844862,2.3505272376543216,0.045,1.0,0.025,-1.0,0.06,1.1666666666666667,0.931753284874985,2.3643904,0.05,1.0,0.0,,0.0,,0.93289001954273,2.365477777777778,0.005,1.0,0.025,-1.0,0.005,1.0,0.905717635994906,2.3636895833333336,0.0,,0.005,-1.0,0.0,,0.9317765524462644,2.342946913580247,0.145,1.0689655172413792,0.075,-1.2,0.14,1.0714285714285714
200,25,5.962049961090088,0.5472521781921387,11.958809852600098,0.932778233638543,2.364390432098765,0.0,,0.0,,0.0,,0.9327934311444234,2.3615522376543208,0.0,,0.0,,0.005,1.0,0.9327940925208926,2.364390432098765,0.0,,0.0,,0.0,,0.909171307531416,2.364390432098765,0.0,,0.0,,0.0,,0.909171307531416,2.3643904,0.0,,0.0,,0.0,,0.9312944532107604,2.350445061728395,0.04,1.0,0.01,-1.0,0.04,1.0,0.9313031081812452,2.3643904,0.045,1.0,0.0,,0.0,,0.932800105679257,2.359419830246914,0.01,1.0,0.0,,0.015,1.0,0.909171307531416,2.364390432098765,0.0,,0.0,,0.0,,0.9313460937157496,2.3361138888888884,0.14,1.1071428571428572,0.065,-1.3076923076923077,0.115,1.3478260869565215
500,10,74.80725407600403,4.090620994567871,75.14184713363647,0.9448913599648044,0.351358024691358,0.0,,0.0,,0.0,,0.9448834198292784,0.3513532469135802,0.0,,0.002,-1.0,0.004,1.0,0.94488894542935,0.351358024691358,0.0,,0.0,,0.0,,0.9181577165916558,0.3509404444444444,0.0,,0.008,-1.0,0.0,,0.918130036859564,0.35135803,0.0,,0.0,,0.0,,0.9430319684557844,0.3507366913580247,0.002,1.0,0.008,-1.0,0.008,1.0,0.9430115717566784,0.35135803,0.01,1.0,0.0,,0.0,,0.944895480159468,0.3518452839506172,0.0,,0.006,-1.0,0.002,1.0,0.9181577165916558,0.3509404444444444,0.0,,0.008,-1.0,0.0,,0.942985731334201,0.3497474691358025,0.064,1.0,0.04,-1.0,0.058,1.0
