"$N_{c}$, N_{p}$",k,optimal_time,relaxed_time,grad_time,$\mathbb{E}[{U_{C}}]$_Baseline,$\sigma(\mathbb{E}[U_{G}])$_Baseline,$\mathbb{E}[U_{G}]$_Baseline,$\#(U_{P} < U_{P\min})/N_{P}$_Baseline,$\sum(V - U_{P})/N_{P^{b}}$_Baseline,$\#(A_{C} > k)/N_{C}$_Baseline,$\sum(A_{C} - k)/N_{A_{c}^{a}}$_Baseline,$\#(A_{C} < k)/N_{C}$_Baseline,$\sum(k - A_{C})/N_{A_{c}^{b}}$_Baseline,$\mathbb{E}[{U_{C}}]$_LP Round,$\sigma(\mathbb{E}[U_{G}])$_LP Round,$\mathbb{E}[U_{G}]$_LP Round,$\#(U_{P} < U_{P\min})/N_{P}$_LP Round,$\sum(V - U_{P})/N_{P^{b}}$_LP Round,$\#(A_{C} > k)/N_{C}$_LP Round,$\sum(A_{C} - k)/N_{A_{c}^{a}}$_LP Round,$\#(A_{C} < k)/N_{C}$_LP Round,$\sum(k - A_{C})/N_{A_{c}^{b}}$_LP Round,$\mathbb{E}[{U_{C}}]$_LP TopK,$\sigma(\mathbb{E}[U_{G}])$_LP TopK,$\mathbb{E}[U_{G}]$_LP TopK,$\#(U_{P} < U_{P\min})/N_{P}$_LP TopK,$\sum(V - U_{P})/N_{P^{b}}$_LP TopK,$\#(A_{C} > k)/N_{C}$_LP TopK,$\sum(A_{C} - k)/N_{A_{c}^{a}}$_LP TopK,$\#(A_{C} < k)/N_{C}$_LP TopK,$\sum(k - A_{C})/N_{A_{c}^{b}}$_LP TopK,$\mathbb{E}[{U_{C}}]$_Grad Round,$\sigma(\mathbb{E}[U_{G}])$_Grad Round,$\mathbb{E}[U_{G}]$_Grad Round,$\#(U_{P} < U_{P\min})/N_{P}$_Grad Round,$\sum(V - U_{P})/N_{P^{b}}$_Grad Round,$\#(A_{C} > k)/N_{C}$_Grad Round,$\sum(A_{C} - k)/N_{A_{c}^{a}}$_Grad Round,$\#(A_{C} < k)/N_{C}$_Grad Round,$\sum(k - A_{C})/N_{A_{c}^{b}}$_Grad Round,$\mathbb{E}[{U_{C}}]$_Grad TopK,$\sigma(\mathbb{E}[U_{G}])$_Grad TopK,$\mathbb{E}[U_{G}]$_Grad TopK,$\#(U_{P} < U_{P\min})/N_{P}$_Grad TopK,$\sum(V - U_{P})/N_{P^{b}}$_Grad TopK,$\#(A_{C} > k)/N_{C}$_Grad TopK,$\sum(A_{C} - k)/N_{A_{c}^{a}}$_Grad TopK,$\#(A_{C} < k)/N_{C}$_Grad TopK,$\sum(k - A_{C})/N_{A_{c}^{b}}$_Grad TopK,$\mathbb{E}[{U_{C}}]$_Lang Round,$\sigma(\mathbb{E}[U_{G}])$_Lang Round,$\mathbb{E}[U_{G}]$_Lang Round,$\#(U_{P} < U_{P\min})/N_{P}$_Lang Round,$\sum(V - U_{P})/N_{P^{b}}$_Lang Round,$\#(A_{C} > k)/N_{C}$_Lang Round,$\sum(A_{C} - k)/N_{A_{c}^{a}}$_Lang Round,$\#(A_{C} < k)/N_{C}$_Lang Round,$\sum(k - A_{C})/N_{A_{c}^{b}}$_Lang Round,$\mathbb{E}[{U_{C}}]$_Lang TopK,$\sigma(\mathbb{E}[U_{G}])$_Lang TopK,$\mathbb{E}[U_{G}]$_Lang TopK,$\#(U_{P} < U_{P\min})/N_{P}$_Lang TopK,$\sum(V - U_{P})/N_{P^{b}}$_Lang TopK,$\#(A_{C} > k)/N_{C}$_Lang TopK,$\sum(A_{C} - k)/N_{A_{c}^{a}}$_Lang TopK,$\#(A_{C} < k)/N_{C}$_Lang TopK,$\sum(k - A_{C})/N_{A_{c}^{b}}$_Lang TopK,$\mathbb{E}[{U_{C}}]$_Prob Round,$\sigma(\mathbb{E}[U_{G}])$_Prob Round,$\mathbb{E}[U_{G}]$_Prob Round,$\#(U_{P} < U_{P\min})/N_{P}$_Prob Round,$\sum(V - U_{P})/N_{P^{b}}$_Prob Round,$\#(A_{C} > k)/N_{C}$_Prob Round,$\sum(A_{C} - k)/N_{A_{c}^{a}}$_Prob Round,$\#(A_{C} < k)/N_{C}$_Prob Round,$\sum(k - A_{C})/N_{A_{c}^{b}}$_Prob Round,$\mathbb{E}[{U_{C}}]$_Prob Grad,$\sigma(\mathbb{E}[U_{G}])$_Prob Grad,$\mathbb{E}[U_{G}]$_Prob Grad,$\#(U_{P} < U_{P\min})/N_{P}$_Prob Grad,$\sum(V - U_{P})/N_{P^{b}}$_Prob Grad,$\#(A_{C} > k)/N_{C}$_Prob Grad,$\sum(A_{C} - k)/N_{A_{c}^{a}}$_Prob Grad,$\#(A_{C} < k)/N_{C}$_Prob Grad,$\sum(k - A_{C})/N_{A_{c}^{b}}$_Prob Grad,$\mathbb{E}[{U_{C}}]$_Prob Lang,$\sigma(\mathbb{E}[U_{G}])$_Prob Lang,$\mathbb{E}[U_{G}]$_Prob Lang,$\#(U_{P} < U_{P\min})/N_{P}$_Prob Lang,$\sum(V - U_{P})/N_{P^{b}}$_Prob Lang,$\#(A_{C} > k)/N_{C}$_Prob Lang,$\sum(A_{C} - k)/N_{A_{c}^{a}}$_Prob Lang,$\#(A_{C} < k)/N_{C}$_Prob Lang,$\sum(k - A_{C})/N_{A_{c}^{b}}$_Prob Lang
200,10,4.35112190246582,0.5844321250915527,14.733250856399536,0.9340810489942837,0.6150629798124762,0.5555555555555556,0.0,,0.0,,0.0,,0.9341107595222082,0.6159866746394222,0.5558333333333333,0.0,,0.005,-1.0,0.0,,0.9341048511321642,0.6150629798124762,0.5555555555555556,0.005,1.0,0.0,,0.0,,0.917668615437842,0.614653370146214,0.5561111111111111,0.005,1.0,0.01,-1.0,0.0,,0.9178114463741317,0.61506295,0.5555556,0.005,1.0,0.0,,0.0,,0.9331558868012103,0.6150629798124762,0.5555555555555556,0.005,1.0,0.0,,0.0,,0.9331558868012103,0.61506295,0.5555556,0.005,1.0,0.0,,0.0,,0.9341107595222081,0.6159866746394222,0.5558333333333333,0.0,,0.005,-1.0,0.0,,0.917668615437842,0.614653370146214,0.5561111111111111,0.005,1.0,0.01,-1.0,0.0,,0.9331544940706435,0.6150629798124762,0.5555555555555556,0.0,,0.0,,0.0,
200,10,6.102025032043457,0.6664268970489502,13.457730054855347,0.9432679875066641,0.6150629798124762,0.5555555555555556,0.0,,0.0,,0.0,,0.9432551732264406,0.6142553581872351,0.5552777777777779,0.0,,0.005,-1.0,0.01,1.0,0.9432413152131197,0.6150629798124762,0.5555555555555556,0.005,1.0,0.0,,0.0,,0.9279496754459375,0.6152421609957064,0.5558333333333333,0.005,1.0,0.005,-1.0,0.0,,0.9279480396675701,0.61506295,0.5555556,0.01,1.0,0.0,,0.0,,0.9417719153962565,0.6121614710733325,0.555,0.01,1.0,0.01,-1.0,0.02,1.0,0.9417148424259544,0.61506295,0.5555556,0.015,1.0,0.0,,0.0,,0.9432505258833781,0.6151781333910278,0.5555555555555556,0.0,,0.01,-1.0,0.01,1.0,0.9279496754459375,0.6152421609957064,0.5558333333333333,0.005,1.0,0.005,-1.0,0.0,,0.9417470557624725,0.6100711479455125,0.5541666666666667,0.03,1.0,0.015,-1.0,0.04,1.0
200,10,7.60531210899353,0.5495278835296631,11.336090326309204,0.9413730078057767,0.6150629798124762,0.5555555555555556,0.0,,0.0,,0.0,,0.9413997080851145,0.6149796744608719,0.555,0.005,1.0,0.0,,0.01,1.0,0.9414284474101475,0.6150629798124762,0.5555555555555556,0.005,1.0,0.0,,0.0,,0.9244858980561137,0.6150629798124762,0.5555555555555556,0.0,,0.0,,0.0,,0.9244858980561137,0.61506295,0.5555556,0.0,,0.0,,0.0,,0.939853187465854,0.6123621664011472,0.5552777777777778,0.02,1.0,0.025,-1.0,0.03,1.0,0.9397785457332767,0.61506295,0.5555556,0.03,1.0,0.0,,0.0,,0.9413630715160063,0.6149107257295842,0.5552777777777779,0.005,1.0,0.005,-1.0,0.01,1.0,0.9244858980561137,0.6150629798124762,0.5555555555555556,0.0,,0.0,,0.0,,0.9396818510407694,0.6135155350342769,0.5552777777777779,0.025,1.0,0.045,-1.0,0.05,1.0
200,15,0.8614637851715088,0.5481600761413574,13.325657844543457,0.9294759334280434,0.9225944697187142,0.8333333333333335,0.0,,0.0,,0.0,,0.9294533658547062,0.9228443350135853,0.8333333333333334,0.0,,0.005,-1.0,0.005,1.0,0.9294492669839204,0.9225944697187142,0.8333333333333335,0.005,1.0,0.0,,0.0,,0.9117479990825134,0.9225944697187142,0.8333333333333335,0.0,,0.0,,0.0,,0.9117479990825134,0.92259455,0.8333333,0.0,,0.0,,0.0,,0.928598526416895,0.9215598776122426,0.8330555555555557,0.005,1.0,0.01,-1.0,0.015,1.0,0.9285884315725652,0.92259455,0.8333333,0.01,1.0,0.0,,0.0,,0.9294533658547062,0.9228443350135853,0.8333333333333334,0.0,,0.005,-1.0,0.005,1.0,0.9117479990825134,0.9225944697187142,0.8333333333333335,0.0,,0.0,,0.0,,0.9285404978375055,0.9219548223445899,0.8325,0.025,1.0,0.015,-1.0,0.03,1.0
200,15,7.648018836975098,0.5984897613525391,13.52835202217102,0.9382428970019627,0.9225944697187142,0.8333333333333335,0.0,,0.0,,0.0,,0.9382276226763955,0.9226654306483907,0.8330555555555557,0.01,1.0,0.0,,0.005,1.0,0.9382324676959996,0.9225944697187142,0.8333333333333335,0.01,1.0,0.0,,0.0,,0.9213086481682826,0.9225944697187142,0.8333333333333335,0.0,,0.0,,0.0,,0.9213086481682826,0.92259455,0.8333333,0.0,,0.0,,0.0,,0.9367735739976879,0.9218504940245643,0.8333333333333334,0.0,,0.01,-1.0,0.01,1.0,0.93675133661503,0.92259455,0.8333333,0.005,1.0,0.0,,0.0,,0.9382276226763953,0.9226654306483907,0.8330555555555557,0.01,1.0,0.0,,0.005,1.0,0.9213086481682826,0.9225944697187142,0.8333333333333335,0.0,,0.0,,0.0,,0.9367521220203062,0.9214936881411345,0.8327777777777778,0.015,1.0,0.01,-1.0,0.02,1.0
200,15,8.395501136779785,0.5811069011688232,15.464823007583618,0.9369463810008601,0.9225944697187142,0.8333333333333335,0.0,,0.0,,0.0,,0.9369979196044019,0.9216018663175547,0.8333333333333334,0.01,1.0,0.005,-1.0,0.005,1.0,0.9369743031616202,0.9225944697187142,0.8333333333333335,0.01,1.0,0.0,,0.0,,0.9167855229279703,0.9223668310318051,0.8336111111111113,0.0,,0.005,-1.0,0.0,,0.9167869862238708,0.92259455,0.8333333,0.0,,0.0,,0.0,,0.9353272375968482,0.9219471226234075,0.8330555555555555,0.01,1.0,0.025,-1.0,0.03,1.0,0.9353161691163,0.92259455,0.8333333,0.01,1.0,0.0,,0.0,,0.9369979196044017,0.9216018663175547,0.8333333333333334,0.01,1.0,0.005,-1.0,0.005,1.0,0.9167855229279703,0.9223668310318051,0.8336111111111113,0.0,,0.005,-1.0,0.0,,0.9353383464732321,0.9201663832370242,0.8327777777777778,0.02,1.0,0.025,-1.0,0.035,1.0
200,25,4.4871039390563965,0.5698838233947754,12.471886157989502,0.9245945135753869,1.53765744953119,1.3888888888888888,0.0,,0.0,,0.0,,0.9246502066968721,1.537208694676053,1.3886111111111112,0.005,1.0,0.0,,0.005,1.0,0.9246512861810228,1.53765744953119,1.3888888888888888,0.0,,0.0,,0.0,,0.8893043275671435,1.537429537680779,1.3891666666666667,0.0,,0.005,-1.0,0.0,,0.889294574476155,1.5376574,1.3888888,0.0,,0.0,,0.0,,0.9237154820529349,1.5371935105538566,1.3883333333333332,0.03,1.0,0.035,-1.0,0.045,1.0,0.9237739900696194,1.5376574,1.3888888,0.035,1.0,0.0,,0.0,,0.9246502066968721,1.537208694676053,1.3886111111111112,0.005,1.0,0.0,,0.005,1.0,0.8893043275671435,1.537429537680779,1.3891666666666667,0.0,,0.005,-1.0,0.0,,0.923689333481579,1.5365925506348999,1.3883333333333332,0.05,1.0,0.04,-1.0,0.05,1.0
200,25,4.786710739135742,0.5664429664611816,13.77082109451294,0.9328889637557428,1.53765744953119,1.3888888888888888,0.0,,0.0,,0.0,,0.9328686305995304,1.537836006644835,1.3891666666666667,0.0,,0.005,-1.0,0.0,,0.932861039642322,1.53765744953119,1.3888888888888888,0.005,1.0,0.0,,0.0,,0.9055241210208743,1.53765744953119,1.3888888888888888,0.0,,0.0,,0.0,,0.9055241210208743,1.5376574,1.3888888,0.0,,0.0,,0.0,,0.9317133136844862,1.5331429279927953,1.386388888888889,0.045,1.0,0.025,-1.0,0.06,1.1666666666666667,0.931753284874985,1.5376574,1.3888888,0.05,1.0,0.0,,0.0,,0.9328686305995305,1.537836006644835,1.3891666666666667,0.0,,0.005,-1.0,0.0,,0.9055241210208743,1.53765744953119,1.3888888888888888,0.0,,0.0,,0.0,,0.9317284359217924,1.5332483873410567,1.3872222222222221,0.07,1.0,0.06,-1.0,0.08,1.125
200,25,4.624946117401123,0.558966875076294,14.479442119598389,0.9327575827160668,1.53765744953119,1.3888888888888888,0.0,,0.0,,0.0,,0.9327934311444234,1.5367342768528074,1.3886111111111112,0.0,,0.0,,0.005,1.0,0.9327940925208926,1.53765744953119,1.3888888888888888,0.0,,0.0,,0.0,,0.9054686730631678,1.53765744953119,1.3888888888888888,0.0,,0.0,,0.0,,0.9054686730631678,1.5376574,1.3888888,0.0,,0.0,,0.0,,0.9312944532107605,1.5331161279330394,1.3872222222222221,0.04,1.0,0.01,-1.0,0.04,1.0,0.9313031081812451,1.5376574,1.3888888,0.045,1.0,0.0,,0.0,,0.932798026112698,1.536285202110019,1.3883333333333334,0.005,1.0,0.0,,0.01,1.0,0.9054686730631678,1.53765744953119,1.3888888888888888,0.0,,0.0,,0.0,,0.9312994471135179,1.5366027192045013,1.3891666666666667,0.025,1.0,0.04,-1.0,0.035,1.0
500,10,58.31463003158569,4.446492910385132,76.06066989898682,0.9448917653276185,0.592754607482184,0.5555555555555556,0.0,,0.0,,0.0,,0.9448834198292785,0.5927505773203264,0.5554444444444444,0.0,,0.002,-1.0,0.004,1.0,0.94488894542935,0.592754607482184,0.5555555555555556,0.0,,0.0,,0.0,,0.9179235438069107,0.5924022657320315,0.556,0.0,,0.008,-1.0,0.0,,0.917949060818685,0.59275466,0.5555556,0.002,1.0,0.0,,0.0,,0.9430319684557844,0.5922302688634082,0.5555555555555557,0.002,1.0,0.008,-1.0,0.008,1.0,0.9430115717566785,0.59275466,0.5555556,0.01,1.0,0.0,,0.0,,0.9448834198292787,0.5927505773203264,0.5554444444444444,0.0,,0.002,-1.0,0.004,1.0,0.9179235438069107,0.5924022657320315,0.556,0.0,,0.008,-1.0,0.0,,0.9429777002532705,0.5916139882652464,0.5546666666666666,0.024,1.0,0.01,-1.0,0.026,1.0
500,10,46.85289788246155,4.094238758087158,67.81643891334534,0.9463628478855278,0.592754607482184,0.5555555555555556,0.0,,0.0,,0.0,,0.9463640781515064,0.592754607482184,0.5555555555555556,0.0,,0.002,-1.0,0.002,1.0,0.9463588990134385,0.592754607482184,0.5555555555555556,0.002,1.0,0.0,,0.0,,0.9165157744976323,0.5922327808106088,0.5563333333333333,0.0,,0.014,-1.0,0.0,,0.91649094922473,0.59275466,0.5555556,0.0,,0.0,,0.0,,0.9441936553978515,0.592449581123018,0.5552222222222223,0.006,1.0,0.002,-1.0,0.008,1.0,0.9442119474075787,0.59275466,0.5555556,0.008,1.0,0.0,,0.0,,0.9463667604641943,0.5925702229574167,0.5554444444444445,0.002,1.0,0.002,-1.0,0.004,1.0,0.9165157744976323,0.5922327808106088,0.5563333333333333,0.0,,0.014,-1.0,0.0,,0.9441920441723762,0.5921085256714681,0.5552222222222223,0.008,1.0,0.008,-1.0,0.014,1.0
500,10,55.290164947509766,4.169913053512573,75.59849977493286,0.9497057757347317,0.592754607482184,0.5555555555555557,0.0,,0.0,,0.0,,0.9496918897699235,0.5928064347962179,0.5554444444444445,0.002,1.0,0.0,,0.002,1.0,0.9496950288798547,0.592754607482184,0.5555555555555557,0.002,1.0,0.0,,0.0,,0.9199145969206497,0.5923619284871267,0.5561111111111112,0.0,,0.01,-1.0,0.0,,0.9198894773052511,0.59275466,0.5555556,0.002,1.0,0.0,,0.0,,0.9481007157582744,0.5919091521884456,0.5546666666666666,0.014,1.0,0.008,-1.0,0.024,1.0,0.9481490476228593,0.59275466,0.5555556,0.014,1.0,0.0,,0.0,,0.949696198104731,0.5927812246072859,0.5555555555555557,0.002,1.0,0.002,-1.0,0.002,1.0,0.9199145969206497,0.5923619284871267,0.5561111111111112,0.0,,0.01,-1.0,0.0,,0.9481104998201029,0.5917541615014812,0.554888888888889,0.02,1.0,0.018,-1.0,0.028,1.0714285714285714
500,15,12.8937349319458,4.543483257293701,75.51443982124329,0.9412801108475073,0.8891319112232761,0.8333333333333334,0.0,,0.0,,0.0,,0.9412947944391481,0.889054630381322,0.8334444444444443,0.002,1.0,0.006,-1.0,0.004,1.0,0.9412969624620113,0.8891319112232761,0.8333333333333334,0.006,1.0,0.0,,0.0,,0.9012563282024193,0.8887686585355391,0.8337777777777778,0.002,1.0,0.008,-1.0,0.0,,0.9012295623582565,0.88913196,0.8333333,0.006,1.0,0.0,,0.0,,0.9393977896511143,0.8866992196753303,0.8322222222222222,0.012,1.0,0.006,-1.0,0.026,1.0,0.9394107224076128,0.88913196,0.8333333,0.01,1.0,0.0,,0.0,,0.9412947944391481,0.889054630381322,0.8334444444444443,0.002,1.0,0.006,-1.0,0.004,1.0,0.9012563282024193,0.8887686585355391,0.8337777777777778,0.002,1.0,0.008,-1.0,0.0,,0.9393969369694017,0.8879048998125368,0.8326666666666666,0.018,1.0,0.018,-1.0,0.03,1.0
500,15,68.76807904243469,4.2846221923828125,73.77462792396545,0.9420996298857355,0.8891319112232761,0.8333333333333334,0.0,,0.0,,0.0,,0.9420778919456766,0.8895369581979155,0.8333333333333334,0.0,,0.002,-1.0,0.002,1.0,0.9420994845174555,0.8891319112232761,0.8333333333333334,0.002,1.0,0.0,,0.0,,0.9004625136248968,0.8890925599997526,0.8335555555555555,0.0,,0.004,-1.0,0.0,,0.9004487633070938,0.88913196,0.8333333,0.002,1.0,0.0,,0.0,,0.9398962551497796,0.8882680401270278,0.833,0.002,1.0,0.004,-1.0,0.01,1.0,0.9399096943741201,0.88913196,0.8333333,0.004,1.0,0.0,,0.0,,0.9420778919456763,0.8895369581979155,0.8333333333333334,0.0,,0.002,-1.0,0.002,1.0,0.9004625136248968,0.8890925599997526,0.8335555555555555,0.0,,0.004,-1.0,0.0,,0.9398955519312777,0.8876843783437645,0.8326666666666668,0.014,1.0,0.006,-1.0,0.016,1.125
500,15,510.0048429965973,4.454197883605957,83.41047501564026,0.9454490853506601,0.8891319112232761,0.8333333333333334,0.0,,0.0,,0.0,,0.9454388975249701,0.8891836802843104,0.8332222222222222,0.0,,0.0,,0.002,1.0,0.9454441417184326,0.8891319112232761,0.8333333333333334,0.0,,0.0,,0.0,,0.9084615462918283,0.889039133135833,0.8334444444444444,0.0,,0.002,-1.0,0.0,,0.908463839762555,0.88913196,0.8333333,0.0,,0.0,,0.0,,0.9439130627921036,0.8874695126045001,0.8325555555555554,0.014,1.0,0.002,-1.0,0.016,1.0,0.9439233550803025,0.88913196,0.8333333,0.008,1.0,0.0,,0.0,,0.94543889752497,0.8891836802843104,0.8332222222222222,0.0,,0.0,,0.002,1.0,0.9084615462918283,0.889039133135833,0.8334444444444444,0.0,,0.002,-1.0,0.0,,0.9439280549626302,0.8874202659366428,0.8327777777777778,0.022,1.0,0.016,-1.0,0.024,1.0833333333333333
