"$N_{c}$, N_{p}$}",k,optimal_time,relaxed_time,grad_time,$\mathbb{E}[{U_{C}}]$_Baseline,$\sigma(\mathbb{E}[U_{G}])$_Baseline,$\#(U_{P} < U_{P\min})/N_{P}$_Baseline,$\sum(V - U_{P})/N_{P^{b}}$_Baseline,$\#(A_{C} > k)/N_{C}$_Baseline,$\sum(A_{C} - k)/N_{A_{c}^{a}}$_Baseline,$\#(A_{C} < k)/N_{C}$_Baseline,$\sum(k - A_{C})/N_{A_{c}^{b}}$_Baseline,$\mathbb{E}[{U_{C}}]$_LP Round,$\sigma(\mathbb{E}[U_{G}])$_LP Round,$\#(U_{P} < U_{P\min})/N_{P}$_LP Round,$\sum(V - U_{P})/N_{P^{b}}$_LP Round,$\#(A_{C} > k)/N_{C}$_LP Round,$\sum(A_{C} - k)/N_{A_{c}^{a}}$_LP Round,$\#(A_{C} < k)/N_{C}$_LP Round,$\sum(k - A_{C})/N_{A_{c}^{b}}$_LP Round,$\mathbb{E}[{U_{C}}]$_LP TopK,$\sigma(\mathbb{E}[U_{G}])$_LP TopK,$\#(U_{P} < U_{P\min})/N_{P}$_LP TopK,$\sum(V - U_{P})/N_{P^{b}}$_LP TopK,$\#(A_{C} > k)/N_{C}$_LP TopK,$\sum(A_{C} - k)/N_{A_{c}^{a}}$_LP TopK,$\#(A_{C} < k)/N_{C}$_LP TopK,$\sum(k - A_{C})/N_{A_{c}^{b}}$_LP TopK,$\mathbb{E}[{U_{C}}]$_Grad Round,$\sigma(\mathbb{E}[U_{G}])$_Grad Round,$\#(U_{P} < U_{P\min})/N_{P}$_Grad Round,$\sum(V - U_{P})/N_{P^{b}}$_Grad Round,$\#(A_{C} > k)/N_{C}$_Grad Round,$\sum(A_{C} - k)/N_{A_{c}^{a}}$_Grad Round,$\#(A_{C} < k)/N_{C}$_Grad Round,$\sum(k - A_{C})/N_{A_{c}^{b}}$_Grad Round,$\mathbb{E}[{U_{C}}]$_Grad TopK,$\sigma(\mathbb{E}[U_{G}])$_Grad TopK,$\#(U_{P} < U_{P\min})/N_{P}$_Grad TopK,$\sum(V - U_{P})/N_{P^{b}}$_Grad TopK,$\#(A_{C} > k)/N_{C}$_Grad TopK,$\sum(A_{C} - k)/N_{A_{c}^{a}}$_Grad TopK,$\#(A_{C} < k)/N_{C}$_Grad TopK,$\sum(k - A_{C})/N_{A_{c}^{b}}$_Grad TopK
100,5,0.3315284252166748,0.2656245231628418,340.0612814426422,0.9439743322950396,1.1876681167546579,0.0,,0.0,,0.0,,0.9440576479225075,1.155114231965345,0.13,1.0,0.0,,0.15,1.0,0.9439722582938639,1.1876681167546579,0.0,,0.0,,0.0,,0.93875580781691,1.1568059474259287,0.15,1.0,0.0,,0.08,1.0,0.9388104373019673,1.1876681,0.07,1.0,0.0,,0.0,
100,5,0.30129289627075195,0.24078583717346191,151.2038655281067,0.9392722735762179,1.1876681167546579,0.0,,0.0,,0.0,,0.9392623327083324,1.1760479959971397,0.05,1.0,0.0,,0.06,1.0,0.9392736821869722,1.1876681167546579,0.0,,0.0,,0.0,,0.9316262860078958,1.1415291888028485,0.21,1.0,0.0,,0.12,1.0,0.9309251161632888,1.1876681,0.09,1.0,0.0,,0.0,
100,5,0.2902064323425293,0.5796365737915039,53.07805347442627,0.9370233116634269,1.1876681167546579,0.0,,0.0,,0.0,,0.9363416245940052,1.1547390277557186,0.15,1.0,0.0,,0.16,1.0,0.9370284903435524,1.1876681167546579,0.0,,0.0,,0.0,,0.9299758883963556,1.1101451356566951,0.33,1.0,0.0,,0.21,1.1904761904761905,0.9307256183729719,1.1876681,0.08,1.0,0.0,,0.0,
100,10,0.2901451587677002,0.23361945152282715,56.85931444168091,0.94073958782051,2.3753362335093158,0.0,,0.0,,0.0,,0.9406270323257988,2.3466619318134048,0.12,1.0833333333333333,0.0,,0.13,1.0769230769230769,0.9407389964677313,2.3753362335093158,0.0,,0.0,,0.0,,0.9353176930353786,2.3640971967234243,0.08,1.0,0.0,,0.05,1.0,0.9353138271121842,2.3753362,0.03,1.0,0.0,,0.0,
100,10,0.30785465240478516,0.2716968059539795,97.73410296440125,0.9359101015383862,2.3753362335093158,0.0,,0.0,,0.0,,0.9358636621569472,2.3668262856970865,0.05,1.0,0.0,,0.06,1.1666666666666667,0.9359137152327919,2.3753362335093158,0.0,,0.0,,0.0,,0.9300870081715409,2.3525069370543603,0.11,1.0,0.0,,0.08,1.0,0.9299285733235422,2.3753362,0.04,1.0,0.0,,0.0,
100,10,0.5010178089141846,0.25573015213012695,633.8094305992126,0.933775229275024,2.3753362335093158,0.0,,0.0,,0.0,,0.93358229541886,2.366464780121512,0.07,1.0,0.0,,0.08,1.0,0.9337718095731694,2.3753362335093158,0.0,,0.0,,0.0,,0.9282121603256068,2.3838530901789134,0.02,1.0,0.0,,0.02,1.0,0.9282669136498055,2.3753362,0.0,,0.0,,0.0,
100,25,0.24408888816833496,0.25917673110961914,159.86597776412964,0.9272296394269856,5.938340583773289,0.0,,0.0,,0.0,,0.927110411018933,5.921319297438893,0.09,1.0,0.0,,0.11,1.0,0.9272372287432885,5.938340583773289,0.0,,0.0,,0.0,,0.920307862702475,5.930201420600222,0.04,1.0,0.0,,0.03,1.0,0.9203361446802665,5.9383407,0.01,1.0,0.0,,0.0,
100,25,0.27924084663391113,0.2656264305114746,103.1821084022522,0.924689996566231,5.938340583773289,0.0,,0.0,,0.0,,0.9246988764404339,5.908925452229026,0.12,1.0,0.0,,0.13,1.0,0.9246898882490965,5.938340583773289,0.0,,0.0,,0.0,,0.9177910107448654,5.938340583773289,0.0,,0.0,,0.0,,0.9177910107448654,5.9383407,0.0,,0.0,,0.0,
100,25,0.3392167091369629,0.659935712814331,215.4725377559662,0.9221637072243204,5.938340583773289,0.0,,0.0,,0.0,,0.9220751018593835,5.926698537597097,0.04,1.0,0.0,,0.06,1.0,0.922157529151964,5.938340583773289,0.0,,0.0,,0.0,,0.9156307986131232,5.938340583773289,0.0,,0.0,,0.0,,0.9156307986131232,5.9383407,0.0,,0.0,,0.0,
500,5,6.259278297424316,6.324473857879639,344.0401577949524,0.9471603154658939,1.1993424124169971,0.0,,0.0,,0.0,,0.9470944522835467,1.1873032000668107,0.048,1.0,0.0,,0.05,1.04,0.9471744379038933,1.1993424124169971,0.002,1.0,0.0,,0.0,,0.9391611614809676,1.0639335818868896,0.452,1.0309734513274336,0.0,,0.306,1.2222222222222223,0.939069777947569,1.1993424,0.096,1.0,0.0,,0.0,
500,5,6.224149227142334,6.601968288421631,338.8311595916748,0.9480631683281323,1.1993424124169971,0.0,,0.0,,0.0,,0.9480139671993908,1.1887218158827384,0.044,1.0,0.0,,0.046,1.0,0.9480634408542848,1.1993424124169971,0.0,,0.0,,0.0,,0.9385644909108561,1.108411876916198,0.41,1.0195121951219512,0.0,,0.288,1.125,0.9383428842105215,1.1993424,0.1,1.0,0.0,,0.0,
500,5,6.226349353790283,6.559235572814941,250.09123730659485,0.9441038646462172,1.1993424124169971,0.0,,0.0,,0.0,,0.9439857479714624,1.1854645596652067,0.062,1.0,0.0,,0.062,1.032258064516129,0.9441056825058242,1.1993424124169971,0.0,,0.0,,0.0,,0.9245294493096708,0.4345879274285777,0.99,2.993939393939394,0.0,,0.606,4.537953795379538,0.9379680641937146,1.1993424,0.94,2.4276595,0.0,,0.0,
500,10,6.248695611953735,6.385929346084595,300.7012724876404,0.9473635338212271,2.3986848248339943,0.0,,0.0,,0.0,,0.9472799867484095,2.3877254634670395,0.052,1.0,0.0,,0.056,1.0,0.9473643239791659,2.3986848248339943,0.0,,0.0,,0.0,,0.9422737316271562,1.174104292168668,0.982,4.989816700610998,0.002,-1.0,0.992,4.453629032258065,0.9334701409209262,2.3986847,0.956,4.922594,0.0,,0.0,
500,10,6.296476364135742,6.999521970748901,317.3664710521698,0.9483362321005354,2.3986848248339943,0.0,,0.0,,0.0,,0.948345859492246,2.387859850717095,0.044,1.0,0.0,,0.046,1.0,0.9483366204405318,2.3986848248339943,0.0,,0.0,,0.0,,0.9402256127883947,2.28625477339882,0.414,1.0193236714975846,0.0,,0.304,1.25,0.9401769690572702,2.3986847,0.048,1.0,0.0,,0.0,
