"$N_{c}$, N_{p}$", k , grad_time           , lang_time          , $\mathbb{E}[{U_{C}}]$_rounded_grad, $\sigma(\mathbb{E}[U_{G}])$_rounded_grad, $\#(U_{P} < U_{P\min})/N_{P}$_rounded_grad, $\sum(V - U_{P})/N_{P^{b}}$_rounded_grad, $\#(A_{C} > k)/N_{C}$_rounded_grad, $\sum(A_{C} - k)/N_{A_{c}^{a}}$_rounded_grad, $\#(A_{C} < k)/N_{C}$_rounded_grad, $\sum(k - A_{C})/N_{A_{c}^{b}}$_rounded_grad, $\mathbb{E}[{U_{C}}]$_topk_grad, $\sigma(\mathbb{E}[U_{G}])$_topk_grad, $\#(U_{P} < U_{P\min})/N_{P}$_topk_grad, $\sum(V - U_{P})/N_{P^{b}}$_topk_grad, $\#(A_{C} > k)/N_{C}$_topk_grad, $\sum(A_{C} - k)/N_{A_{c}^{a}}$_topk_grad, $\#(A_{C} < k)/N_{C}$_topk_grad, $\sum(k - A_{C})/N_{A_{c}^{b}}$_topk_grad, $\mathbb{E}[{U_{C}}]$_rounded_lang, $\sigma(\mathbb{E}[U_{G}])$_rounded_lang, $\#(U_{P} < U_{P\min})/N_{P}$_rounded_lang, $\sum(V - U_{P})/N_{P^{b}}$_rounded_lang, $\#(A_{C} > k)/N_{C}$_rounded_lang, $\sum(A_{C} - k)/N_{A_{c}^{a}}$_rounded_lang, $\#(A_{C} < k)/N_{C}$_rounded_lang, $\sum(k - A_{C})/N_{A_{c}^{b}}$_rounded_lang, $\mathbb{E}[{U_{C}}]$_topk_lang, $\sigma(\mathbb{E}[U_{G}])$_topk_lang, $\#(U_{P} < U_{P\min})/N_{P}$_topk_lang, $\sum(V - U_{P})/N_{P^{b}}$_topk_lang, $\#(A_{C} > k)/N_{C}$_topk_lang, $\sum(A_{C} - k)/N_{A_{c}^{a}}$_topk_lang, $\#(A_{C} < k)/N_{C}$_topk_lang, $\sum(k - A_{C})/N_{A_{c}^{b}}$_topk_lang
              200, 10,   16.344774961471558,   96.52940034866333,                 0.9139406130083364,                      0.6148582718354242 ,                       0.005               ,                       1.0               ,                         0.005     , -1.0                                        ,                 0.0               ,                                             ,              0.9139131021863374,                            0.61506295,                     0.005              ,                             1.0      ,                             0.0,                                          ,                             0.0,                                          ,                 0.9331853394075393,                      0.6150629798124762 ,                         0.0               ,                                         ,                          0.0      ,                                             ,              0.0                  ,                                             ,              0.9331853394075393,                            0.61506295,                               0.0      ,                                      ,                             0.0,                                          ,                             0.0,
              200, 10,   16.28889775276184 ,   90.20617079734802,                 0.9251671300670038,                      0.6150629798124762 ,                       0.0                 ,                                         ,                         0.0       ,                                             ,                 0.0               ,                                             ,              0.9251671300670038,                            0.61506295,                     0.0                ,                                      ,                             0.0,                                          ,                             0.0,                                          ,                 0.941732867536473 ,                      0.6124314020543217 ,                         0.005             ,                       1.0               ,                          0.005    , -1.0                                        ,              0.015                ,                           1.0               ,              0.9416821479625254,                            0.61506295,                               0.01     ,                             1.0      ,                             0.0,                                          ,                             0.0,
              400, 10,   18.937514066696167,  100.20309400558472,                 0.925235203723862 ,                      0.6105326334035039 ,                       0.0025              ,                       1.0               ,                         0.0075    , -1.0                                        ,                 0.0               ,                                             ,              0.9252472288552193,                            0.6102456 ,                     0.0075             ,                             1.0      ,                             0.0,                                          ,                             0.0,                                          ,                 0.945410322068382 ,                      0.6092760326408854 ,                         0.0025            ,                       1.0               ,                          0.0075   , -1.0                                        ,              0.0125               ,                           1.0               ,              0.9453889476105422,                            0.6102456 ,                               0.005    ,                             1.0      ,                             0.0,                                          ,                             0.0,
              400, 10,   18.904917240142822,   99.8092999458313 ,                 0.9113791616412884,                      0.6100273217925024 ,                       0.005               ,                       1.0               ,                         0.005     , -1.0                                        ,                 0.0               ,                                             ,              0.9113819126674274,                            0.6102456 ,                     0.0075             ,                             1.0      ,                             0.0,                                          ,                             0.0,                                          ,                 0.9364740817932237,                      0.6090047664473207 ,                         0.005             ,                       1.0               ,                          0.0025   , -1.0                                        ,              0.0125               ,                           1.0               ,              0.9364723944512917,                            0.6102456 ,                               0.005    ,                             1.0      ,                             0.0,                                          ,                             0.0,
              800, 10,  261.1577067375183  ,  104.56931900978088,                 0.9313751358950688,                      0.5997841368379703 ,                       0.05375             ,                       1.0               ,                         0.0575    , -1.0                                        ,                 0.0125            ,                           1.0               ,              0.9314105038773961,                            0.5986127 ,                     0.095              ,                             1.0      ,                             0.0,                                          ,                             0.0,                                          ,                 0.950192036349364 ,                      0.5983828233491675 ,                         0.0               ,                                         ,                          0.0      ,                                             ,              0.00125              ,                           1.0               ,              0.9501918951716986,                            0.5986127 ,                               0.0      ,                                      ,                             0.0,                                          ,                             0.0,
              800, 10,  259.496075630188   ,  105.94430160522461,                 0.9283061452901037,                      0.6008028482788675 ,                       0.05625             ,                       1.0               ,                         0.05375   , -1.0                                        ,                 0.00375           ,                           1.0               ,              0.9284364716451848,                            0.5986127 ,                     0.09625            ,                             1.0      ,                             0.0,                                          ,                             0.0,                                          ,                 0.9467046186272186,                      0.5985426818647847 ,                         0.0               ,                                         ,                          0.0025   , -1.0                                        ,              0.00125              ,                           1.0               ,              0.9467017766909865,                            0.5986127 ,                               0.0      ,                                      ,                             0.0,                                          ,                             0.0,
             1200, 10,  263.8385446071625  ,  182.27182722091675,                 0.9306894950552548,                      0.6039117597631685 ,                       0.049166666666666664,                       1.0               ,                         0.0525    , -1.0                                        ,                 0.0075            ,                           1.0               ,              0.9307455478129555,                            0.6027778 ,                     0.09166666666666666,                             1.0      ,                             0.0,                                          ,                             0.0,                                          ,                 0.9503863859995775,                      0.6023164036902207 ,                         0.0               ,                                         ,                          0.0      ,                                             ,              0.0025               ,                           1.0               ,              0.9503954263837592,                            0.6027778 ,                               0.0      ,                                      ,                             0.0,                                          ,                             0.0,
             1200, 10,  263.16824173927307 ,  183.81009888648987,                 0.9299859164403619,                      0.6045090345391921 ,                       0.05583333333333333 ,                       1.0               ,                         0.0475    , -1.0                                        ,                 0.0075            ,                           1.0               ,              0.9300895594348986,                            0.6027778 ,                     0.09333333333333334,                             1.0      ,                             0.0,                                          ,                             0.0,                                          ,                 0.9495857645396611,                      0.602470173831579  ,                         0.0               ,                                         ,                          0.0      ,                                             ,              0.0016666666666666668,                           1.0               ,              0.9495917472686433,                            0.6027778 ,                               0.0      ,                                      ,                             0.0,                                          ,                             0.0,
             1600, 10,  272.1269528865814  ,  235.8312110900879 ,                 0.930698346813172 ,                      0.5991559748392492 ,                       0.05125             ,                       1.0               ,                         0.06875   , -1.0                                        ,                 0.014375          ,                           1.0               ,              0.9307973528685606,                            0.59743696,                     0.098125           ,                             1.0063695,                             0.0,                                          ,                             0.0,                                          ,                 0.9491634696003483,                      0.5971005245838705 ,                         0.0               ,                                         ,                          0.0      ,                                             ,              0.0025               ,                           1.0               ,              0.9491724010044357,                            0.59743696,                               0.0      ,                                      ,                             0.0,                                          ,                             0.0,
             1600, 10,  269.40258836746216 ,  232.94416785240173,                 0.9319960456779424,                      0.5986337848567466 ,                       0.05625             ,                       1.0               ,                         0.063125  , -1.0                                        ,                 0.015625          ,                           1.0               ,              0.9320563260656931,                            0.597437  ,                     0.0975             ,                             1.0064102,                             0.0,                                          ,                             0.0,                                          ,                 0.9496970550251129,                      0.59588806890521   ,                         0.0               ,                                         ,                          0.0      ,                                             ,              0.0075               ,                           1.1666666666666667,              0.9497313413522128,                            0.597437  ,                               0.0      ,                                      ,                             0.0,                                          ,                             0.0,
