"$N_{c}$, N_{p}$",k,optimal_scip_time,optimal_gurobi_time,relaxed_scip_time,relaxed_gurobi_time,$\mathbb{E}[{U_{C}}]$_Baseline,$\sigma(\mathbb{E}[U_{G}])$_Baseline,$\#(U_{P} < U_{P\min})/N_{P}$_Baseline,$\sum(V - U_{P})/N_{P^{b}}$_Baseline,$\#(A_{C} > k)/N_{C}$_Baseline,$\sum(A_{C} - k)/N_{A_{c}^{a}}$_Baseline,$\#(A_{C} < k)/N_{C}$_Baseline,$\sum(k - A_{C})/N_{A_{c}^{b}}$_Baseline,$\mathbb{E}[{U_{C}}]$_LP Round,$\sigma(\mathbb{E}[U_{G}])$_LP Round,$\#(U_{P} < U_{P\min})/N_{P}$_LP Round,$\sum(V - U_{P})/N_{P^{b}}$_LP Round,$\#(A_{C} > k)/N_{C}$_LP Round,$\sum(A_{C} - k)/N_{A_{c}^{a}}$_LP Round,$\#(A_{C} < k)/N_{C}$_LP Round,$\sum(k - A_{C})/N_{A_{c}^{b}}$_LP Round,$\mathbb{E}[{U_{C}}]$_LP TopK,$\sigma(\mathbb{E}[U_{G}])$_LP TopK,$\#(U_{P} < U_{P\min})/N_{P}$_LP TopK,$\sum(V - U_{P})/N_{P^{b}}$_LP TopK,$\#(A_{C} > k)/N_{C}$_LP TopK,$\sum(A_{C} - k)/N_{A_{c}^{a}}$_LP TopK,$\#(A_{C} < k)/N_{C}$_LP TopK,$\sum(k - A_{C})/N_{A_{c}^{b}}$_LP TopK
200,10,0,2.5647101402282715,0,1.0951361656188965,0.7504496965929865,3.462946722085109,0.0,,0.0,,0.0,,0.7500995313078165,3.465473993554128,0.005,1.0,0.005,-1.0,0.005,1.0,0.7505070477314293,3.462946722085109,0.005,1.0,0.0,,0.0,
200,10,0,2.811008930206299,0,1.128002405166626,0.7545121454820037,3.462946722085109,0.0,,0.0,,0.0,,0.7545452486500144,3.462946722085109,0.0,,0.0,,0.0,,0.7545452486500144,3.462946722085109,0.0,,0.0,,0.0,
200,10,0,2.1278696060180664,0,1.1689388751983643,0.7627767193131149,3.462946722085109,0.0,,0.0,,0.0,,0.7628396713398397,3.462946722085109,0.0,,0.0,,0.0,,0.7628396713398397,3.462946722085109,0.0,,0.0,,0.0,
400,10,0,14.989849328994751,0,5.21382212638855,0.7585914705581963,3.4620080878010673,0.0,,0.0,,0.0,,0.7587221449278295,3.4620080878010673,0.0,,0.0,,0.0,,0.7587221449278295,3.4620080878010673,0.0,,0.0,,0.0,
400,10,0,15.479864120483398,0,5.192528247833252,0.7586195182092488,3.4620080878010673,0.0,,0.0,,0.0,,0.758700940500078,3.4630046202683586,0.0,,0.0025,-1.0,0.0,,0.758820841614157,3.4620080878010673,0.0025,1.0,0.0,,0.0,
400,10,0,15.226447582244873,0,5.086979627609253,0.7667331623695791,3.4620080878010673,0.0,,0.0,,0.0,,0.7670325835993005,3.4610115573340696,0.0025,1.0,0.0,,0.0025,1.0,0.7670310294032097,3.4620080878010673,0.0025,1.0,0.0,,0.0,
400,10,0,14.96260666847229,0,5.1203343868255615,0.7585914705581963,3.4620080878010673,0.0,,0.0,,0.0,,0.7587221449278295,3.4620080878010673,0.0,,0.0,,0.0,,0.7587221449278295,3.4620080878010673,0.0,,0.0,,0.0,
400,10,0,15.47856593132019,0,4.969410419464111,0.7586195182092488,3.4620080878010673,0.0,,0.0,,0.0,,0.758700940500078,3.4630046202683586,0.0,,0.0025,-1.0,0.0,,0.758820841614157,3.4620080878010673,0.0025,1.0,0.0,,0.0,
400,10,0,15.223609209060669,0,4.806300640106201,0.7667331623695791,3.4620080878010673,0.0,,0.0,,0.0,,0.7670325835993005,3.4610115573340696,0.0025,1.0,0.0,,0.0025,1.0,0.7670310294032097,3.4620080878010673,0.0025,1.0,0.0,,0.0,
800,10,0,19.092661380767822,0,19.97955322265625,0.7641158948270604,3.461981008035717,0.0,,0.0,,0.0,,0.7641505217002704,3.461981008035717,0.0,,0.0,,0.0,,0.7641505217002704,3.461981008035717,0.0,,0.0,,0.0,
800,10,0,18.04378056526184,0,21.50324559211731,0.7717355308299885,3.461981008035717,0.0,,0.0,,0.0,,0.7716802829348649,3.461482738654058,0.00125,1.0,0.0,,0.00125,1.0,0.7716856353217736,3.461981008035717,0.00125,1.0,0.0,,0.0,
800,10,0,18.53443956375122,0,21.43667769432068,0.7699127012612298,3.461981008035717,0.0,,0.0,,0.0,,0.7699326264401898,3.461981008035717,0.0,,0.0,,0.0,,0.7699326264401898,3.461981008035717,0.0,,0.0,,0.0,
1200,10,0,49.12034893035889,0,49.79474186897278,0.7665664524783691,3.458102401928292,0.0,,0.0,,0.0,,0.76571130557172,3.458102401928292,0.0,,0.0,,0.0,,0.76571130557172,3.458102401928292,0.0,,0.0,,0.0,
1200,10,0,49.78202557563782,0,48.99190926551819,0.7700101932169249,3.458102401928292,0.0,,0.0,,0.0,,0.7690213529188186,3.458102401928292,0.0,,0.0,,0.0,,0.7690213529188186,3.458102401928292,0.0,,0.0,,0.0,
1200,10,0,52.61682200431824,0,45.25201916694641,0.7703253898322582,3.458102401928292,0.0,,0.0,,0.0,,0.7684284884252895,3.458102401928292,0.0008333333333333334,1.0,0.0,,0.0,,0.7684284884252895,3.458102401928292,0.0008333333333333334,1.0,0.0,,0.0,
1600,10,0,101.72637271881104,0,95.52683997154236,0.7678049628548325,3.459077731130077,0.0,,0.0,,0.0,,0.7658598008072004,3.459077731130077,0.0,,0.0,,0.0,,0.7658598008072004,3.459077731130077,0.0,,0.0,,0.0,
1600,10,0,97.32269239425659,0,97.45302248001099,0.7694754899125547,3.459077731130077,0.0,,0.0,,0.0,,0.7679278845088556,3.459077731130077,0.000625,1.0,0.0,,0.0,,0.7679278845088556,3.459077731130077,0.000625,1.0,0.0,,0.0,
1600,10,0,95.42892599105835,0,88.00986909866333,0.7695130114960484,3.459077731130077,0.0,,0.0,,0.0,,0.7663621162897907,3.459077731130077,0.0,,0.0,,0.0,,0.7663621162897907,3.459077731130077,0.0,,0.0,,0.0,
3200,10,0,470.9947896003723,0,436.4635727405548,0.7679581716356333,3.460647067384942,0.0,,0.0,,0.0,,0.7635978729256895,3.460647067384942,0.0,,0.0,,0.0,,0.7635978729256895,3.460647067384942,0.0,,0.0,,0.0,
3200,10,0,489.4226105213165,0,438.6909692287445,0.7696120250129607,3.460647067384942,0.0,,0.0,,0.0,,0.7667170376081486,3.460647067384942,0.0,,0.0,,0.0,,0.7667170376081486,3.460647067384942,0.0,,0.0,,0.0,
3200,10,0,473.6901807785034,0,438.2291443347931,0.7737071314735804,3.460647067384942,0.0,,0.0,,0.0,,0.7685195961580612,3.460647067384942,0.0,,0.0,,0.0,,0.7685195961580612,3.460647067384942,0.0,,0.0,,0.0,
