N   , og                , rg                   , rs
 200, 2.5647101402282715,    1.0951361656188965, 15.339307308197021
 200, 2.811008930206299 ,    1.128002405166626 , 13.80955982208252
 200, 2.1278696060180664,    1.1689388751983643, 12.20361614227295
 400, 14.989849328994751,    5.21382212638855  , 175.25309205055237
 400, 15.479864120483398,    5.192528247833252 , 141.89562582969666
 400, 15.223609209060669,    4.806300640106201 , 172.65625143051147
 800, 19.092661380767822,   19.97955322265625  , 2287.9065878391266
 800, 18.04378056526184 ,   21.50324559211731  , 1633.331638097763
 800, 18.53443956375122 ,   21.43667769432068  , 1849.1878423690796
1200, 49.12034893035889 ,   49.79474186897278  , 8721.599141597748
1200, 49.78202557563782 ,   48.99190926551819  , 7943.432432432433
1200, 52.61682200431824 ,   45.25201916694641  , 8542.2425431834234
1600, 101.72637271881104,   95.52683997154236  , -
1600, 97.32269239425659 ,   97.45302248001099  , -
1600, 95.42892599105835 ,   88.00986909866333  , -
3200, 470.9947896003723 ,  436.4635727405548   , -
3200, 489.4226105213165 ,  438.6909692287445   , -
3200, 473.6901807785034 ,  438.2291443347931   , -
6400, 2375.6105382442474, 1985.9298219680786   , -
6400, 3329.39062833786  , 1953.9627459049225   , -
9000, -                 , 7352.432629433649    , -
9000, -                 , 7242.136432432433    , -
9000, -                 , 7416.382612943649    , -
